"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"556","RT @42SiliconValley: Will #AI take over the world?! #42SiliconValley Cadet, Sasha, breaks down @DeepMindAI's #AlphaGO Zero! @Google Full vi＃",FALSE,0,NA,2017-11-30 04:47:05,FALSE,NA,"936094206262513665",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gtnjuvin",4,TRUE,FALSE,NA,NA
"557","RT @fchollet: ""AlphaChem"": chemical synthesis with deep learning, the AlphaGo way. https://t.co/0B5Gy4PQO9",FALSE,0,NA,2017-11-30 04:03:55,FALSE,NA,"936083342189039616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tmadzhidov",85,TRUE,FALSE,NA,NA
"558","RT @Krishnan8gk: Alphago retires from Go! It will focus on solving real world problems. 

AlphaGo combined two powerful ideas about learnin＃",FALSE,0,NA,2017-11-30 03:50:47,FALSE,NA,"936080037962330114",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","connectpuneet",2,TRUE,FALSE,NA,NA
"559","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-30 02:56:56,FALSE,NA,"936066488015966208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AparnaPolShah",25,TRUE,FALSE,NA,NA
"560","RT @Krishnan8gk: Alphago retires from Go! It will focus on solving real world problems. 

AlphaGo combined two powerful ideas about learnin＃",FALSE,0,NA,2017-11-30 01:43:31,FALSE,NA,"936048012672897024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twistedblaster",2,TRUE,FALSE,NA,NA
"561","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-30 01:35:18,FALSE,NA,"936045943652278273",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DaviaTemin",25,TRUE,FALSE,NA,NA
"562","Alphago retires from Go! It will focus on solving real world problems. 

AlphaGo combined two powerful ideas about＃ https://t.co/B0iVUG10Ye",FALSE,0,NA,2017-11-30 01:30:49,TRUE,NA,"936044817028603904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Krishnan8gk",2,FALSE,FALSE,NA,NA
"563","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-30 00:28:32,FALSE,NA,"936029139894702081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yesboxx",25,TRUE,FALSE,NA,NA
"564","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-30 00:12:04,FALSE,NA,"936024995255455744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HollywoodTParty",25,TRUE,FALSE,NA,NA
"565","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-29 23:28:11,FALSE,NA,"936013953792081921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ProfIngvar",25,TRUE,FALSE,NA,NA
"566","RT @burckhap: - AlphaGo Zero Goes From Rank Beginner to Grandmaster in Three Days〞Without Any Help #computing #ieee IEEE Spectrum ... https＃",FALSE,0,NA,2017-11-29 23:20:14,FALSE,NA,"936011954442964992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CiowwDa",4,TRUE,FALSE,NA,NA
"567","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-29 23:13:52,FALSE,NA,"936010350788579329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cognitivepage",25,TRUE,FALSE,NA,NA
